%Latitude (°)	Longitude (°)	Elevation	Published distance from coast (km)	Calculated distance from coast (km)	Temperature (°C)	Accumulation (cm/year)	Deuterium (per mill) : mean	Oxygen 18 (per mill) : mean	Deuterium excess (per mill) : mean
-77.58	163.29	NaN	NaN	22	NaN	NaN	-244.2	-29.4	-9.1
-77.58	163.27	NaN	NaN	22	NaN	NaN	-234.5	-29.3	-0.3
-77.57	163.3	NaN	NaN	22	NaN	NaN	-231.9	-28.4	-5
-77.57	163.33	NaN	NaN	22	NaN	NaN	-198.2	-25.1	2.6
-77.57	163.27	NaN	NaN	22	NaN	NaN	-213	-26.2	-3.1
-77.58	163.33	NaN	NaN	21	NaN	NaN	-235.8	-29	-4.1
-77.57	163.35	NaN	NaN	22	NaN	NaN	-228.7	-28.1	-4
-77.58	163.34	NaN	NaN	21	NaN	NaN	-199.6	-25.2	2.1
-77.58	163.34	NaN	NaN	21	NaN	NaN	-233.1	-29.6	3.7
-77.58	163.33	NaN	NaN	21	NaN	NaN	-203.2	-25.5	1.1
-77.59	163.27	NaN	NaN	22	NaN	NaN	-217.8	-27	-1.5
-77.57	163.33	NaN	NaN	22	NaN	NaN	-263.9	-33	0
-77.58	163.32	NaN	NaN	21	NaN	NaN	-238.5	-30.3	3.6
-77.75	162.13	NaN	NaN	42	NaN	NaN	-304.5	-38.8	5.9
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-318.9	-40.4	4.6
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-341.8	-43.1	2.7
-77.74	162.13	NaN	NaN	42	NaN	NaN	-308.7	-39.1	4.1
-77.74	161.68	NaN	NaN	53	NaN	NaN	-321.3	-40.8	5
-77.76	161.8	NaN	NaN	50	NaN	NaN	-321.2	-40.3	1.6
-77.75	161.77	NaN	NaN	51	NaN	NaN	-315.4	-39.3	-1.3
-77.75	161.65	NaN	NaN	54	NaN	NaN	-342	-42.8	0.3
-77.72	161.65	NaN	NaN	54	NaN	NaN	-331.9	-41.3	-1.2
-77.72	162.27	NaN	NaN	39	NaN	NaN	-296.7	-37	-0.4
-77.73	162.29	NaN	NaN	39	NaN	NaN	-321.6	-40.1	-0.8
-77.72	162.25	NaN	NaN	40	NaN	NaN	-335.6	-41.7	-2.4
-77.73	162.23	NaN	NaN	40	NaN	NaN	-349.9	-43.9	1
-77.73	162.21	NaN	NaN	41	NaN	NaN	-347.6	-43.7	2
-77.73	162.2	NaN	NaN	41	NaN	NaN	-336.5	-42.2	1.5
-77.73	162.17	NaN	NaN	41	NaN	NaN	-319.3	-40.2	2.1
-77.73	162.16	NaN	NaN	42	NaN	NaN	-310	-39.2	3.2
-77.73	162.14	NaN	NaN	42	NaN	NaN	-346	-43.2	-0.6
-77.73	162.12	NaN	NaN	43	NaN	NaN	-347.9	-43.3	-1.6
-77.73	162.09	NaN	NaN	43	NaN	NaN	-361.7	-45	-1.6
-77.74	162.06	NaN	NaN	44	NaN	NaN	-303.2	-38.5	4.9
-77.73	162.19	NaN	NaN	41	NaN	NaN	-328.1	-41.6	4.7
-77.56	163.34	NaN	NaN	22	NaN	NaN	-229.1	-28.2	-3.6
-77.74	162.48	NaN	NaN	34	NaN	NaN	-257.6	-32.5	2.1
-77.74	162.46	NaN	NaN	35	NaN	NaN	-240.2	-30.3	2.1
-77.74	162.44	NaN	NaN	35	NaN	NaN	-229.1	-29	3.3
-77.74	162.44	NaN	NaN	35	NaN	NaN	-250.1	-31.5	1.8
-77.75	161.95	NaN	NaN	47	NaN	NaN	-312.1	-39.5	3.6
-77.75	161.97	NaN	NaN	46	NaN	NaN	-328.8	-41.7	5
-77.75	162	NaN	NaN	46	NaN	NaN	-306.4	-39.3	7.7
-77.75	162.02	NaN	NaN	45	NaN	NaN	-289.2	-37	6.5
-77.75	162.03	NaN	NaN	45	NaN	NaN	-305.8	-39	6
-77.73	162.01	NaN	NaN	45	NaN	NaN	-350.6	-43.9	0.5
-77.76	161.84	NaN	NaN	49	NaN	NaN	-307	-39.1	5.8
-77.76	161.87	NaN	NaN	49	NaN	NaN	-301	-38.2	4.5
-77.75	161.89	NaN	NaN	48	NaN	NaN	-294.3	-37.2	3.1
-77.75	161.91	NaN	NaN	48	NaN	NaN	-314.1	-39.9	4.9
-77.75	161.93	NaN	NaN	47	NaN	NaN	-304	-38.6	4.4
-77.63	162.99	NaN	NaN	25	NaN	NaN	-272	-34.3	2.6
-77.63	162.99	NaN	NaN	25	NaN	NaN	-275.8	-35.2	5.4
-77.63	162.99	NaN	NaN	25	NaN	NaN	-275.2	-34.9	3.7
-77.62	163.05	NaN	NaN	23	NaN	NaN	-257.8	-32.6	3.2
-77.76	161.84	NaN	NaN	49	NaN	NaN	-322.4	-40.8	3.7
-77.75	161.89	NaN	NaN	48	NaN	NaN	-305.7	-38.7	3.6
-77.75	161.93	NaN	NaN	47	NaN	NaN	-312.1	-39.6	4.6
-77.75	162.02	NaN	NaN	45	NaN	NaN	-304	-38.8	6.3
-77.74	162.06	NaN	NaN	44	NaN	NaN	-294.3	-37.3	3.7
-77.73	163.21	NaN	NaN	17	NaN	NaN	-327.3	-41.2	2.7
-77.73	162.19	NaN	NaN	41	NaN	NaN	-349.9	-44	2.3
-77.73	162.16	NaN	NaN	42	NaN	NaN	-316.5	-39.9	3
-77.73	162.12	NaN	NaN	43	NaN	NaN	-349.7	-43.5	-1.7
-77.74	162.13	NaN	NaN	42	NaN	NaN	-324.4	-41.2	5.1
-77.75	162.13	NaN	NaN	42	NaN	NaN	-310.6	-39.3	3.6
-77	163	NaN	NaN	13	NaN	NaN	-237.5	-29.6	-0.5
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-252.2	-32.1	4.6
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-215.2	-26.4	-3.7
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-199.1	-24.9	-0.1
-77.56	163.23	NaN	NaN	24	NaN	NaN	-236.2	-29	-4.3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-180.4	-22.4	-1.2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-231.8	-28.5	-4.1
-77.58	163.27	NaN	NaN	22	NaN	NaN	-211.3	-26.6	1.4
-77.59	163.32	NaN	NaN	21	NaN	NaN	-221.4	-27.5	-1.5
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-224.1	-27.8	-2.1
-77.57	163.32	NaN	NaN	22	NaN	NaN	-208.2	-27	7.9
-77.56	163.32	NaN	NaN	23	NaN	NaN	-254.7	-32.1	2.4
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-239	-30	1.2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-257.4	-32.4	2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-231.2	-28.6	-2.8
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-220.4	-27	-4.3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	-227.4	-28.3	-0.6
-79.38	-111.24	1791	NaN	490	-31.1	26	-250.53	-31.64	2.57
-80.62	-122.63	1350	NaN	690	NaN	14	-257.62	-33.13	5.27
-81.2	-126.17	1040	NaN	670	NaN	NaN	-220.32	-27.83	2.34
-80	-120	1530	NaN	630	-28	24	-257.71	-32.61	3.17
-89.14	-77.06	1239	NaN	1240	-26.4	38	-248.08	-31.61	4.77
-86.5	-107.99	2586	NaN	1130	-35.9	15	-331.11	-42.87	13.88
-78.43	-115.92	1742	NaN	82	-31	25	-248.66	NaN	NaN
-78.08	-120.08	1697	NaN	49	-30.2	19	-265.19	NaN	NaN
-77.68	-124	1828	NaN	36	-31.9	12	-277.38	NaN	NaN
-77.84	-102.91	1336	NaN	107	-25	43	NaN	-29.45	NaN
-78.12	-95.65	1620	NaN	79	-25.9	33	-245.35	NaN	NaN
-66.72194444	113.1994444	1276	NaN	77	NaN	130	NaN	-20.365	NaN
-66.76972222	112.8069444	NaN	NaN	92	NaN	NaN	NaN	-21.865	NaN
-66.77472222	112.8019444	NaN	NaN	93	NaN	76	NaN	-22.045	NaN
-66.72388889	113.2061111	1270	NaN	77	NaN	136	NaN	-20.464	NaN
-66.77611111	112.8013889	1369	NaN	93	NaN	75	NaN	-22.249	NaN
-66.77361111	112.7594444	1361	NaN	94	NaN	63	NaN	-21.803	NaN
-66.77555556	112.5288889	1297	NaN	102	NaN	45.94	NaN	-23.098	NaN
-66.77555556	112.2319444	1140	NaN	90	NaN	10.09	NaN	-23.041	NaN
-66.77722222	112.8113889	NaN	NaN	93	NaN	70.3	NaN	-22.117	NaN
-66.77277778	112.4580556	NaN	NaN	100	NaN	33.88	NaN	-23.315	NaN
-66.77416667	112.35725	1200	NaN	95	NaN	16.67	NaN	-23.832	NaN
-66.77555556	112.2391667	1137.6	NaN	90	NaN	NaN	NaN	-24.615	NaN
-66.72027778	112.8361111	1390	NaN	88	-22	67	NaN	-21.885	NaN
-66.72917222	112.8355333	1390	NaN	88	NaN	NaN	NaN	-21.24	NaN
-65.85333333	113.18	140	NaN	35	-11	NaN	NaN	-16.935	NaN
-66.30194444	111.4566667	773	NaN	42	-16	NaN	NaN	-20.183	NaN
-66.23	111.2316667	610	NaN	32	-14	NaN	NaN	-18.945	NaN
-66.15166667	111.0011111	360	NaN	26	-12	NaN	NaN	-17.514	NaN
-66.38333333	111.7261111	927	NaN	55	NaN	NaN	NaN	-20.827	NaN
-66.13055556	110.9380556	261	NaN	26	-12	NaN	NaN	-18.817	NaN
-66.12861111	110.9361111	249	NaN	26	-12	NaN	NaN	-18.638	NaN
-66.1325	110.9444444	274	NaN	26	NaN	17	NaN	-16.62	NaN
-72.65	-16.63	30	13	16	-16.7	38	NaN	-21.8	NaN
-72.73	-15.97	70	90	40	-18.5	41.5	NaN	-22.14	NaN
-72.45	-12.55	300	150	54	-18.5	34.3	NaN	-24.43	NaN
-72.6	12.43	700	200	279	-21	32.2	NaN	-25.71	NaN
-72.82	-12.2	800	210	303	-18.1	25.8	NaN	-26.97	NaN
-74	-12	1200	260	434	-21.4	28.9	NaN	-30.41	NaN
-74.35	-11.72	1200	300	474	-20	31.8	NaN	-30.58	NaN
-73.6	-12.43	700	200	390	-22	32.4	NaN	-26.59	NaN
-70.24	-4.81	63	10	27	-17.5	28.8	NaN	-23.04	NaN
-71.19	4.6	800	120	121	-20.3	NaN	NaN	-26.81	NaN
-71.9	4.6	1520	210	198	-25.6	13.5	NaN	-33.36	NaN
-72.13	4.18	2044	240	226	-28.1	17.1	NaN	-33.4	NaN
-72.25	2.89	2400	250	240	-30.3	11.9	NaN	-33.42	NaN
-72.5	3	2610	280	267	-34.8	11.2	NaN	-38.4	NaN
-72.68	3.66	2751	300	286	-36.9	5.6	NaN	-40.42	NaN
-73.04	5.06	2929	340	322	-40.1	2.8	NaN	-41.2	NaN
-73.72	7.94	3174	380	402	-44.6	5.2	NaN	-44.87	NaN
-74.35	11.1	3341	450	475	-47.8	4.5	NaN	-46.32	NaN
-74.65	12.79	3406	490	507	-49.3	4.5	NaN	-47.81	NaN
-75	15	3453	560	553	-51.3	5.1	NaN	-49.49	NaN
-71.28	46.31	2596	NaN	323	-38.2	NaN	NaN	-42.4	NaN
-71.73	48.68	2880	NaN	420	-42.4	NaN	NaN	-44.8	NaN
-73.81	48.4	3200	NaN	548	-48.9	NaN	NaN	-50.4	NaN
-74.92	47.94	3310	NaN	636	NaN	NaN	NaN	-51.3	NaN
-75.99	48.1	3383	NaN	739	-54.1	NaN	NaN	-52.5	NaN
-73.02	46.36	3039	NaN	439	-45.7	NaN	NaN	-47.9	NaN
-71.83	44.76	2613	NaN	309	NaN	NaN	NaN	-44.5	NaN
-70.22	46.57	2405	NaN	261	-35.3	NaN	NaN	-38.3	NaN
-69.54	49.93	1958	NaN	215	-31.7	NaN	NaN	-34.9	NaN
-77.99167	-51.53333	65	NaN	78	NaN	182.42	NaN	-26.63	NaN
-78.41333	-52.47333	68	NaN	129	NaN	178.92	NaN	-27.39	NaN
-78.84	-53.47333	71	NaN	176	NaN	171.48	NaN	-28.25	NaN
-79.26833	-54.20167	75	NaN	220	NaN	153.55	NaN	-29.02	NaN
-79.67	-54.89167	85	NaN	264	NaN	165.91	NaN	-29.22	NaN
-80	-55.5	93	NaN	300	NaN	191.96	NaN	-30.28	NaN
-80.43	-55.98	104	NaN	342	NaN	117.92	NaN	-30.6	NaN
-80.83333	-56.58833	107	NaN	381	NaN	NaN	NaN	NaN	NaN
-81.21833	-57.20333	125	NaN	420	NaN	NaN	NaN	NaN	NaN
-81.605	-57.88833	132	NaN	460	NaN	98.76	-251.17	-32.16	6.13
-82.335	-57.82667	143	NaN	524	NaN	100.15	NaN	-32.91	NaN
-82.75	-58.69167	145	NaN	570	NaN	91.28	-264.31	-33.24	1.58
-83.16667	-59.575	163	NaN	615	-30	99.95	-269.42	-34.53	6.8
-83.385	-60.06333	185	NaN	639	-30.2	NaN	NaN	NaN	NaN
-83.91833	-60.36	482	NaN	692	NaN	NaN	NaN	NaN	NaN
-84.81833	-59.635	1191	NaN	777	NaN	170.78	-313.03	-40.36	9.85
-76.98111	-52.26778	41	NaN	25	-23.5	NaN	-195.39	NaN	NaN
-77.19389	-53.14083	NaN	NaN	48	-23.5	NaN	-202.47	-26.17	7
-76.95889	-54.69222	NaN	NaN	56	-23.3	NaN	-202.19	NaN	NaN
-77.35783	-56.05933	NaN	NaN	104	-23.8	NaN	-205.67	-26.27	4.33
-77.68222	-57.32639	NaN	NaN	149	-24.4	NaN	-207.98	NaN	NaN
-78.03361	-58.69056	NaN	NaN	198	-24.5	NaN	-214.11	-27.2	3.67
-78.30194	-56.98	64	NaN	182	-25.2	NaN	-218.71	NaN	NaN
-78.72167	-57.8475	NaN	NaN	225	-26.1	NaN	-225.21	-28.94	6.33
-77.9375	-55.97833	61	NaN	141	-24.7	NaN	-212.07	-27.31	6.05
-77.51306	-54.54667	NaN	NaN	93	-24.3	NaN	-207.01	NaN	NaN
-78.31722	-39.43472	NaN	NaN	83	-24.4	NaN	-198.99	-26.05	8.62
-81.46306	-60.61472	NaN	NaN	479	-28.6	NaN	-251.65	-32.35	7.28
-81.617	-57.917	133	NaN	461	-28.7	NaN	-252.55	NaN	NaN
-78.42778	-52.50639	68	NaN	130	-25.7	NaN	NaN	-27.58	NaN
-78.3	-46.283	730	NaN	36	-22.5	NaN	-184.08	-23.86	6.83
-79.658	-45.617	940	NaN	171	-24.6	NaN	-218.1	-27.99	5.84
-75.004783	0.079533	2890	NaN	531	NaN	NaN	NaN	-45.57	NaN
-75.06028	0.722052	2900	NaN	544	NaN	NaN	NaN	-44.98	NaN
-75.146835	1.34037	2925	NaN	558	NaN	NaN	NaN	-44.85	NaN
-75.20372	2.012168	2955	NaN	569	NaN	NaN	NaN	-46.11	NaN
-75.231415	2.713953	2980	NaN	571	NaN	NaN	NaN	-46.59	NaN
-75.236252	3.424011	3005	NaN	571	NaN	NaN	NaN	-46.13	NaN
-75.227386	4.131404	3045	NaN	567	NaN	NaN	NaN	-46.19	NaN
-75.247444	4.833094	3090	NaN	567	NaN	NaN	NaN	-46.17	NaN
-75.272163	5.537226	3120	NaN	569	NaN	NaN	NaN	-46.92	NaN
-75.265114	6.248196	3150	NaN	568	NaN	NaN	NaN	-46.92	NaN
-75.25647	6.956798	3180	NaN	568	NaN	NaN	NaN	-48.2	NaN
-75.227753	7.655268	3210	NaN	566	NaN	NaN	NaN	-47.86	NaN
-75.181969	8.337033	3235	NaN	564	NaN	NaN	NaN	-48.29	NaN
-75.142113	9.026305	3270	NaN	563	NaN	NaN	NaN	-48.56	NaN
-75.116913	9.723999	3300	NaN	565	NaN	NaN	NaN	-49.13	NaN
-76.636	-40	NaN	NaN	126	NaN	NaN	-176.8	-22.77	5.36
-77.57861	-50.57944	58	NaN	31	-25.8	NaN	NaN	-35.81	NaN
-78.87167	-53.40333	NaN	NaN	177	NaN	NaN	NaN	-29.44	NaN
-77.12917	-50.50139	43	NaN	22	-24.7	NaN	NaN	-24.32	NaN
-77.86722	-52.80417	69	NaN	78	-25.9	NaN	NaN	-26.16	NaN
-77.855	-52.7667	NaN	NaN	76	NaN	NaN	NaN	-28.03	NaN
-78.23	-54.01833	67	NaN	127	-26.3	NaN	NaN	-27.44	NaN
-78.24194	-54.04694	67	NaN	128	-26.3	NaN	NaN	-27.04	NaN
-78.60611	-55.43167	75	NaN	179	-26.9	NaN	NaN	-28.19	NaN
-78.595	-55.40833	NaN	NaN	178	-26.9	NaN	NaN	-28.18	NaN
-78.94611	-56.84	75	NaN	228	-27.3	NaN	NaN	-28.2	NaN
-78.93667	-56.82167	NaN	NaN	227	-27.4	NaN	NaN	-29.35	NaN
-78.30833	-57.12833	NaN	NaN	185	NaN	NaN	NaN	-27.96	NaN
-76.99333	-54.83333	NaN	NaN	60	NaN	NaN	NaN	-26.82	NaN
-77.355	-56.04	55	NaN	104	-24.5	NaN	NaN	-25.81	NaN
-77.71167	-57.43667	NaN	NaN	153	NaN	NaN	NaN	-26.44	NaN
-78.05833	-58.77667	NaN	NaN	201	NaN	NaN	NaN	-27.51	NaN
-71.110709	1.646268	1013	NaN	131	NaN	NaN	NaN	-27.09	NaN
-71.14313	11.69351	1076	NaN	119	NaN	183.15	NaN	-28.48	NaN
-71.253401	11.122667	1315	NaN	136	NaN	181.67	NaN	-28.85	NaN
-71.07827	11.59918	1008	NaN	113	NaN	175.2	NaN	-27.92	NaN
-71.044023	12.3323327	848	NaN	106	NaN	NaN	NaN	-26.54	NaN
-70.602833	-8.364167	39	NaN	0	NaN	NaN	-145	-18.57	3.5
-70.948333	-8.5205	57	NaN	39	-18.1	NaN	NaN	NaN	NaN
-71.250663	-8.65322	70	NaN	73	-18.3	NaN	NaN	NaN	NaN
-71.401667	-8.347167	75	NaN	89	-18.3	NaN	-187.04	-24.16	6.44
-71.832	-8.611333	298	NaN	121	-18.9	NaN	-185.46	NaN	NaN
-71.983333	-8.724667	559	NaN	131	-19.7	NaN	-189.95	-24.25	4.07
-72.162167	-8.823667	788	NaN	140	-21.7	NaN	-196.34	-25.19	4.86
-72.923333	-9.673667	1040	NaN	153	-22	NaN	-208.87	-26.38	1.84
-71.236167	-8.533	70	NaN	71	-18.3	NaN	NaN	-24.31	NaN
-71.535688	-8.280604	78	NaN	104	NaN	NaN	NaN	-23.98	NaN
-71.683833	-8.5	113	NaN	113	-18.3	NaN	-206.15	-26.15	3.02
-71.832	-8.611333	298	NaN	121	-18.9	NaN	-206.89	-26.43	4.15
-71.983333	-8.724667	559	NaN	131	-19.7	NaN	-212.99	-27.02	3.17
-72.162167	-8.823667	788	NaN	140	-21.7	NaN	NaN	-28.43	NaN
-72.504667	-9.093	941	NaN	146	-21.6	NaN	-198.34	-24.93	1.12
-72.923333	-9.673667	1040	NaN	153	-22	NaN	-213.14	NaN	NaN
-76.98111	-52.26778	41	NaN	25	-23.5	NaN	NaN	NaN	NaN
-77.935	-55.93611	61	NaN	140	-23.8	NaN	NaN	NaN	NaN
-72.504667	-9.093	941	NaN	146	-21.6	NaN	NaN	NaN	NaN
-78.60611	-55.43167	92	NaN	179	-26.9	142.29	NaN	-27.85	NaN
-74.205	-9.741667	1439	NaN	268	NaN	126.25	NaN	-31.77	NaN
-74.449	-9.18067	2169	NaN	300	NaN	NaN	NaN	NaN	NaN
-73.358833	-9.7	1281	NaN	188	-24.7	NaN	NaN	-29.96	NaN
-73.434717	-4.7317	2000	NaN	318	NaN	NaN	NaN	-36.47	NaN
-74.057083	-9.858217	NaN	NaN	252	NaN	NaN	NaN	-31.99	NaN
-74.155517	-9.397716	NaN	NaN	268	NaN	NaN	NaN	-32.99	NaN
-74.188517	-9.155667	NaN	NaN	275	NaN	NaN	NaN	-33.2	NaN
-74.143817	-9.67855	NaN	NaN	263	NaN	NaN	NaN	-32.85	NaN
-71.20865	-6.79148	600	NaN	79	NaN	NaN	NaN	-20.22	NaN
-71.451567	-9.85745	630	NaN	60	NaN	NaN	NaN	-20.12	NaN
-74.839367	0.00995	2874	NaN	516	NaN	NaN	NaN	-44.12	NaN
