%Latitude (°)	Longitude (°)	Elevation	Published distance from coast (km)	Calculated distance from coast (km)	Temperature (°C)	Accumulation (cm/year)	Deuterium (per mill) : mean	Oxygen 18 (per mill) : mean	Deuterium excess (per mill) : mean
-71.5	143.7	2147	485	389	-42.14	NaN	-293.01	-37.32	5.55
-71.55	144.09	2159	500	389	-41.64	NaN	-271.36	-34.18	2.08
-71.6	144.46	2143	515	389	-42.3	NaN	-297.06	-37.44	2.46
-71.66	144.87	2144	530	389	-42.26	NaN	-302.13	-38.21	3.55
-71.71	145.26	2143	545	388	-42.3	NaN	-333.96	-42.49	5.96
-71.81	145.57	2146	560	393	-42.36	NaN	-297.91	-37.42	1.45
-72	146.2	2145	590	404	-42.34	NaN	-286.46	-36.14	2.66
-72.09	146.53	2156	605	410	-42.55	NaN	-301.29	-38.02	2.87
-72.18	146.85	2165	620	417	-42.73	NaN	-288.99	-36.65	4.21
-72.27	147.18	2169	635	424	-42.81	NaN	-336.3	-42.67	5.06
-72.33	147.51	2175	650	429	-42.98	NaN	-299.71	-37.74	2.21
-72.43	148.35	2155	680	435	-42.89	NaN	-297.21	-37.69	4.31
-72.48	148.77	2152	695	439	-42.87	NaN	-292.52	-37.12	4.44
-72.57	149.61	2135	715	449	-42.79	NaN	-293.67	-36.91	1.61
-72.62	150.03	2136	740	454	-42.8	NaN	-298.81	-37.87	4.15
-72.6	150.88	2137	770	430	-42.8	NaN	-303.68	-38.29	2.64
-72.58	151.32	2151	785	417	-41.65	NaN	-302.92	-38.25	3.08
-72.54	152.06	2153	815	395	-41.48	NaN	-296.16	-37.52	4
-72.51	152.59	2146	830	379	-41.43	NaN	-289	-36.82	5.56
-72.46	153.47	2135	860	354	-41.47	NaN	-284.74	-35.93	2.7
-72.43	153.9	2132	875	341	-41.48	NaN	-282.64	-35.46	1.04
-72.37	154.77	2126	905	317	-41.5	NaN	-275.64	-35.03	4.6
-72.35	155.21	2141	920	305	-40.91	NaN	-280.78	-35.46	2.9
-72.3	156.08	2155	950	283	-40.37	NaN	-296.46	-37.25	1.54
-72.25	156.53	2168	965	271	NaN	NaN	-299.33	-37.78	2.91
-72.12	157.3	2167	995	245	NaN	NaN	-271.77	-34.27	2.39
-72.05	157.67	2173	1010	232	NaN	NaN	-295.36	-37.12	1.6
-71.91	158.42	2180	1040	203	NaN	NaN	-271.89	-34.31	2.59
