%Latitude	Longitude	Elevation (m)	WMO Station #	Weighted Annual d2H (‰)	Weighted Annual d18O (‰)	Weighted Annual d-excess (‰)	Weighted Monthly d2H (‰)	Weighted Monthly d18O (‰)	Weighted Monthly d-excess (‰)
36.88	30.70	49.00	1730000	-28.35	-5.65	17.05	-30.36	-5.92	16.30
36.88	30.70	49.00	1730000	-28.35	-5.65	17.05	-28.32	-5.29	14.34
36.88	30.70	49.00	1730000	-28.35	-5.65	17.05	-27.93	-5.05	12.48
36.88	30.70	49.00	1730000	-28.35	-5.65	17.05	-26.46	-4.72	11.29
36.88	30.70	49.00	1730000	-28.35	-5.65	17.05	-19.32	-3.12	5.53
36.88	30.70	49.00	1730000	-28.35	-5.65	17.05	-32.10	-3.51	9.05
36.88	30.70	49.00	1730000	-28.35	-5.65	17.05	-31.38	-5.74	14.52
36.88	30.70	49.00	1730000	-28.35	-5.65	17.05	-15.06	-3.30	11.36
36.88	30.70	49.00	1730000	-28.35	-5.65	17.05	-25.92	-4.96	13.87
36.88	30.70	49.00	1730000	-28.35	-5.65	17.05	-25.22	-5.40	17.87
36.88	30.70	49.00	1730000	-28.35	-5.65	17.05	-28.03	-6.04	20.47
-18.90	47.53	1300.00	6708500	-44.59	-7.56	14.44	-74.36	-10.09	11.35
-18.90	47.53	1300.00	6708500	-44.59	-7.56	14.44	-65.05	-9.88	11.89
-18.90	47.53	1300.00	6708500	-44.59	-7.56	14.44	-51.27	-8.28	10.66
-18.90	47.53	1300.00	6708500	-44.59	-7.56	14.44	-31.24	-6.27	14.21
-18.90	47.53	1300.00	6708500	-44.59	-7.56	14.44	-29.12	-5.46	14.52
-18.90	47.53	1300.00	6708500	-44.59	-7.56	14.44	-23.67	-4.59	13.08
-18.90	47.53	1300.00	6708500	-44.59	-7.56	14.44	-12.74	-3.76	17.62
-18.90	47.53	1300.00	6708500	-44.59	-7.56	14.44	-38.01	-6.11	10.89
-18.90	47.53	1300.00	6708500	-44.59	-7.56	14.44	-12.75	-3.30	13.68
-18.90	47.53	1300.00	6708500	-44.59	-7.56	14.44	-1.70	-1.96	15.32
-18.90	47.53	1300.00	6708500	-44.59	-7.56	14.44	-13.19	-3.96	18.53
-18.90	47.53	1300.00	6708500	-44.59	-7.56	14.44	-35.54	-6.63	17.48
47.73	16.83	120.00	1119004	-57.95	-999.99	-999.99	-96.70	-999.99	-999.99
47.73	16.83	120.00	1119004	-57.95	-999.99	-999.99	-75.37	-999.99	-999.99
47.73	16.83	120.00	1119004	-57.95	-999.99	-999.99	-77.30	-999.99	-999.99
47.73	16.83	120.00	1119004	-57.95	-999.99	-999.99	-58.47	-999.99	-999.99
47.73	16.83	120.00	1119004	-57.95	-999.99	-999.99	-43.81	-999.99	-999.99
47.73	16.83	120.00	1119004	-57.95	-999.99	-999.99	-45.53	-999.99	-999.99
47.73	16.83	120.00	1119004	-57.95	-999.99	-999.99	-33.86	-999.99	-999.99
47.73	16.83	120.00	1119004	-57.95	-999.99	-999.99	-38.15	-999.99	-999.99
47.73	16.83	120.00	1119004	-57.95	-999.99	-999.99	-57.38	-999.99	-999.99
47.73	16.83	120.00	1119004	-57.95	-999.99	-999.99	-72.22	-999.99	-999.99
47.73	16.83	120.00	1119004	-57.95	-999.99	-999.99	-90.52	-999.99	-999.99
47.73	16.83	120.00	1119004	-57.95	-999.99	-999.99	-104.40	-999.99	-999.99
-13.80	-171.78	2.00	9176200	-24.22	-4.64	12.65	-30.73	-5.32	12.04
-13.80	-171.78	2.00	9176200	-24.22	-4.64	12.65	-37.21	-6.18	11.42
-13.80	-171.78	2.00	9176200	-24.22	-4.64	12.65	-23.15	-4.57	13.38
-13.80	-171.78	2.00	9176200	-24.22	-4.64	12.65	-23.68	-4.41	11.58
-13.80	-171.78	2.00	9176200	-24.22	-4.64	12.65	-15.21	-3.62	13.74
-13.80	-171.78	2.00	9176200	-24.22	-4.64	12.65	-10.83	-3.04	13.46
-13.80	-171.78	2.00	9176200	-24.22	-4.64	12.65	-6.63	-2.18	10.82
-13.80	-171.78	2.00	9176200	-24.22	-4.64	12.65	-7.22	-2.26	10.89
-13.80	-171.78	2.00	9176200	-24.22	-4.64	12.65	-7.82	-2.35	10.96
-13.80	-171.78	2.00	9176200	-24.22	-4.64	12.65	-14.49	-3.35	12.32
-13.80	-171.78	2.00	9176200	-24.22	-4.64	12.65	-21.64	-4.46	14.00
-13.80	-171.78	2.00	9176200	-24.22	-4.64	12.65	-39.94	-6.73	14.23
64.58	40.50	13.00	2255000	-92.38	-12.90	6.92	-137.68	-18.95	1.33
64.58	40.50	13.00	2255000	-92.38	-12.90	6.92	-127.98	-17.24	10.88
64.58	40.50	13.00	2255000	-92.38	-12.90	6.92	-124.51	-16.41	5.60
64.58	40.50	13.00	2255000	-92.38	-12.90	6.92	-101.73	-14.00	13.09
64.58	40.50	13.00	2255000	-92.38	-12.90	6.92	-66.28	-10.30	4.79
64.58	40.50	13.00	2255000	-92.38	-12.90	6.92	-68.74	-10.08	9.43
64.58	40.50	13.00	2255000	-92.38	-12.90	6.92	-54.48	-7.62	4.21
64.58	40.50	13.00	2255000	-92.38	-12.90	6.92	-69.91	-10.73	10.58
64.58	40.50	13.00	2255000	-92.38	-12.90	6.92	-71.40	-10.60	12.19
64.58	40.50	13.00	2255000	-92.38	-12.90	6.92	-105.67	-14.09	4.55
64.58	40.50	13.00	2255000	-92.38	-12.90	6.92	-118.19	-15.52	6.47
64.58	40.50	13.00	2255000	-92.38	-12.90	6.92	-149.96	-19.56	4.45
-7.92	-14.42	15.00	6190000	4.44	-0.56	8.85	9.22	0.34	6.26
-7.92	-14.42	15.00	6190000	4.44	-0.56	8.85	-0.15	-0.90	6.89
-7.92	-14.42	15.00	6190000	4.44	-0.56	8.85	-2.10	-1.46	9.56
-7.92	-14.42	15.00	6190000	4.44	-0.56	8.85	-2.73	-1.30	7.66
-7.92	-14.42	15.00	6190000	4.44	-0.56	8.85	9.13	-0.16	10.45
-7.92	-14.42	15.00	6190000	4.44	-0.56	8.85	10.99	-0.08	11.66
-7.92	-14.42	15.00	6190000	4.44	-0.56	8.85	10.99	-0.07	11.40
-7.92	-14.42	15.00	6190000	4.44	-0.56	8.85	12.13	0.39	8.99
-7.92	-14.42	15.00	6190000	4.44	-0.56	8.85	10.37	0.51	6.25
-7.92	-14.42	15.00	6190000	4.44	-0.56	8.85	11.67	0.33	9.00
-7.92	-14.42	15.00	6190000	4.44	-0.56	8.85	11.97	0.51	7.88
-7.92	-14.42	15.00	6190000	4.44	-0.56	8.85	9.08	0.41	5.83
7.57	39.08	2250.00	6346001	0.00	-1.05	8.41	-999.99	-999.99	-999.99
7.57	39.08	2250.00	6346001	0.00	-1.05	8.41	-999.99	-999.99	-999.99
7.57	39.08	2250.00	6346001	0.00	-1.05	8.41	-999.99	-999.99	-999.99
7.57	39.08	2250.00	6346001	0.00	-1.05	8.41	-999.99	-999.99	-999.99
