%latitude(N)	longtitude(E)	d18-O(‰)	dD(‰)	RH(％)	SST	T air
31.34	124.43	-11.702	-93.5381	80	21.634	21.6
31.31	124.44	-11.8004	-93.5381	80	21.7104	21.7
31.29	124.46	-11.7056	-92.6316	79	21.7434	21.9
31.27	124.47	-11.7074	-92.4805	81	21.9073	21.2
31.25	124.48	-11.6054	-92.4805	83	22.0152	21
31.22	124.49	-11.6072	-92.3295	84	22.0849	21.2
31.19	124.51	-11.5142	-91.5741	86	22.1884	21
31.18	124.51	-11.4193	-91.0705	86	22.2657	21
31.16	124.53	-11.3244	-90.3654	86	22.3406	21.1
31.12	124.55	-11.4316	-89.61	87	22.4291	21.3
31.11	124.55	-11.6353	-89.61	87	22.5001	21.3
31.08	124.56	-12.0273	-89.9625	86	22.5539	21.5
31.06	124.58	-11.8356	-90.5165	85	22.5764	21.7
31.04	124.59	-11.6421	-90.4158	83	22.599	21.7
31.02	124.6	-11.8356	-90.3151	83	22.614	22
30.59	125	-11.9323	-90.164	84	22.6177	22
30.56	125.02	-11.9357	-90.3654	83	22.6131	22.1
30.55	125.03	-12.1359	-90.4661	83	22.6078	22.2
30.52	125.04	-12.4328	-90.9194	84	22.5957	22.2
30.5	125.05	-12.3344	-91.8259	85	22.5406	22.1
30.47	125.07	-12.1342	-92.3295	85	22.483	21.7
30.45	125.08	-12.2276	-92.7827	86	22.4261	21.6
30.43	125.09	-12.3208	-93.2359	86	22.4394	21.7
30.41	125.1	-12.3208	-93.3367	87	22.5242	21.5
30.36	125.12	-12.2258	-93.3367	87	22.6407	21.3
30.36	125.12	-12.3243	-93.3367	87	22.804	21.3
30.34	125.14	-12.2241	-93.387	87	22.9825	21.4
30.32	125.15	-12.1291	-92.9841	87	23.1572	21.6
30.3	125.17	-12.0341	-92.3798	87	23.2679	21.6
30.28	125.19	-11.9357	-91.9769	86	23.3318	21.7
30.25	125.2	-11.934	-91.5237	86	23.3938	21.4
30.23	125.22	-11.934	-91.2215	87	23.4789	21.3
30.21	125.23	-11.9357	-90.869	87	23.5701	21.6
30.18	125.25	-12.0341	-90.869	86	23.6464	21.9
30.17	125.25	-12.1392	-90.6676	86	23.7326	22
30.14	125.26	-12.2443	-90.6676	87	23.8173	22.5
30.12	125.27	-11.8587	-90.5165	86	23.8639	22.7
30.09	125.28	-11.5667	-90.7179	85	23.888	22.8
30.07	125.29	-11.2714	-90.2143	84	23.9037	23.1
30.05	125.3	-10.9825	-88.4014	85	23.921	23.3
30.02	125.31	-10.7904	-87.3438	84	23.9225	23.2
30	125.32	-10.3967	-86.5381	83	23.8453	23.2
29.57	125.33	-10.3014	-85.4301	83	23.746	23.4
29.56	125.34	-10.1077	-83.8186	83	23.6903	23.4
29.53	125.35	-10.0077	-83.0632	83	23.6928	23.5
29.51	125.36	-9.9093	-83.3654	84	23.7158	23.6
29.49	125.37	-9.8139	-82.9625	85	23.7216	23.6
29.46	125.38	-9.6217	-82.4085	86	23.7324	23.6
29.42	125.39	-9.4294	-81.7539	86	23.7651	23.6
29.42	125.4	-9.2341	-81.1999	86	23.7644	23.6
29.4	125.41	-9.2356	-80.6459	86	23.7428	23.6
29.37	125.42	-9.1387	-79.8905	86	23.775	23.7
29.35	125.43	-9.1401	-79.4373	86	23.8406	23.7
29.33	125.44	-9.0432	-78.7826	87	23.891	23.7
29.31	125.45	-9.0447	-78.2287	87	23.97	23.7
29.29	125.46	-9.0152	-77.8258	87	23.9807	23.7
29.26	125.47	-8.9266	-77.5236	87	23.9022	23.7
29.24	125.48	-9.0024	-77.4229	87	23.843	23.7
29.21	125.5	-8.9812	-77.3725	87	23.8464	23.7
29.19	125.5	-9.0191	-77.2215	87	23.986	23.8
29.17	125.51	-8.9024	-76.9697	87	24.4608	24
29.15	125.53	-8.9645	-76.5668	86	24.868	24.2
29.13	125.54	-8.9856	-76.4157	84	25.0298	24.4
29.11	125.55	-9.1461	-75.9121	84	25.1005	24.3
29.08	125.56	-9.2474	-75.5092	83	25.0671	24.5
29.05	125.57	-9.149	-75.1063	83	24.9769	24.3
29.03	125.58	-9.149	-74.1999	84	25.0604	24.5
29.01	125.59	-9.0338	-73.4948	84	25.1572	24.5
28.59	125.6	-9.024	-73.1927	83	25.0427	24.5
28.56	126	-8.9383	-72.5883	83	25.0928	24.6
28.54	126	-9.1475	-72.8401	83	25.2336	24.4
28.51	126	-9.34	-72.9912	83	25.2747	24.2
28.49	126	-9.8276	-73.5452	83	25.3038	24.2
28.46	126.01	-10.0229	-73.9984	83	25.3353	24.3
28.44	126.01	-10.2153	-74.5524	82	25.3749	24.2
28.41	126.01	-10.3152	-75.2071	82	25.4058	24.3
28.38	126	-10.4121	-75.6603	83	25.4162	24.4
28.36	125.6	-10.5135	-76.1639	82	25.3906	24.2
28.34	126	-10.4196	-76.5164	81	25.3432	24.3
28.31	126	-10.4166	-76.5164	82	25.3118	24.4
28.28	126	-10.612	-76.4661	82	25.2994	24.4
28.26	126	-10.615	-76.4661	83	25.2832	24.4
28.23	126	-10.6164	-76.4157	84	25.2614	24.3
28.21	125.6	-10.6179	-76.7682	83	25.2917	24.3
28.17	126	-10.6194	-77.02	84	25.3325	24.5
28.15	126	-10.6179	-77.1711	84	25.3308	24.5
28.13	126	-10.4255	-76.9193	84	25.3242	24.5
28.1	126	-10.524	-77.02	84	25.2942	24.6
28.08	126	-10.4255	-76.7179	84	25.2717	24.6
28.05	126	-10.6194	-76.8186	85	25.2834	24.6
28.03	126	-10.4255	-77.02	85	25.2924	24.6
27.6	126	-10.3286	-77.1711	85	25.2859	24.6
27.58	126	-10.1332	-77.2215	86	25.2305	24.5
27.55	125.6	-10.0362	-76.8689	86	25.1507	24.5
27.53	125.6	-10.1347	-76.8689	86	25.0808	24.5
27.5	126	-10.1361	-76.8186	86	25.0426	24.6
27.48	126	-9.9422	-76.6171	86	24.9838	24.6
27.45	126	-9.6455	-76.5668	86	24.9628	24.4
27.4	126	-9.741	-76.8689	79	25.2201	24.9
27.38	126	-10.1317	-76.9697	79	25.5672	25.1
27.36	126	-10.5195	-76.7682	80	25.8839	24.9
