%Latitude	Longitude	Altitude	Date	O18	H2	Air Temperature
-69.00037222	124.3469806	2206	NaN	-31.35	NaN	-32.4
-69.00488889	119.2842472	1884	NaN	-30.26	NaN	-28.9
-69.00581667	130.8071972	2155	NaN	-33.2	NaN	-33.3
-69.00626389	121.8084917	2042	NaN	-28.78	NaN	-30.5
-69.00664444	123.0569889	2135	NaN	-32.09	NaN	-31.5
-69.00803333	116.7462528	1828	NaN	-29.26	NaN	-29.1
-69.01	130.81	2197	NaN	-33.72	-262.48	-33.3
-69.01322778	120.5530778	1974	NaN	-32.46	NaN	-29.7
-69.01730278	129.5089639	2105	NaN	-32.15	NaN	-32.8
-69.02045	117.9949972	1834	NaN	-30.26	NaN	-28.9
-69.07	-65.33	1400	1990-01-01	-23.5	-180.4	-17
-69.13096944	85.99853056	2078	1998-12-23	-32.82	NaN	-28
-69.14141667	137.1759167	2376	2002-01-01	-35.18	-277.36	-38
-69.15175	136.216	2425	1995-01-01	-37.85	-301.88	-38
-69.17	-65.28333333	1700	1990-01-01	-24.2	-187.3	-17.3
-69.17049722	96.23744722	2587	1985-01-01	-37.46	-294.37	-37.1
-69.20293889	79.7891	1447	1998-12-31	-29.24	NaN	-22.3
-69.22314167	61.09493611	2180	1990-01-01	-34.08	-268.21	-32.5
-69.2244	137.41895	2404	2002-01-01	-35.98	-282.99	-37.6
-69.27876111	84.56458889	2048	1998-01-06	-34.27	NaN	NaN
-69.29486667	138.15375	2373	2002-01-01	-35.41	-278.9	-38
-69.33018333	138.5264333	2361	2002-01-01	-37.69	-296.73	-38.1
-69.348	111.856	2119	NaN	-32.5	NaN	-33.8
-69.33333333	110.8333333	2307	1981-01-01	-32.88	NaN	NaN
-69.33333333	111.8333333	2119	1984-01-01	-32.3	-253.1	-33.8
-69.35049167	135.8846667	2325	1973-01-01	NaN	-291.8	-39.5
-69.3542	95	NaN	NaN	-36.93	-289.25	NaN
-69.41171667	139.2309833	2350	2002-01-01	-35.76	-281.3	-38.2
-69.41361111	60.03111111	2381	1990-01-01	-35.39	-278.66	NaN
-69.43	95.12	2650	1990-01-01	-37.9	-298.7	-35.5
-69.4328	76.34086667	500	NaN	-20.49	NaN	NaN
-69.44028056	135.7450278	2340	1973-01-01	NaN	-288.3	-40.4
-69.46666667	71.41666667	64	NaN	-19	NaN	-20.1
-69.48836667	139.6030833	2334	2002-01-01	-36.63	-289.46	-38.8
-69.49968056	80.74903889	1764	1998-12-31	-31.41	NaN	-25.1
-69.5	66.26666667	870	NaN	-16.8	NaN	-12.9
-69.5	159.4166667	NaN	NaN	-9.5	NaN	-4.1
-69.50390556	61.1206	2328	1990-01-01	-36.92	-290.64	-34.1
-69.54166667	49.93333056	1958	1974-01-01	-34.9	NaN	-31.7
-69.54891667	135.5735	2360	1973-01-01	NaN	-287	-41.2
-69.57041667	135.5404472	2365	1973-01-01	NaN	-288.2	-41.4
-69.58333056	48.83333056	2165	1980-01-01	-33.78	NaN	NaN
-69.59840833	135.4955639	2370	1973-01-01	NaN	-294	-41.6
-69.60948333	96.73623333	NaN	NaN	-38.06	-299.48	-38.1
-69.68	-65.22	1600	1990-01-01	-24.1	-188.3	-19.6
-69.6824	81.4164	1973	1998-01-06	-31.83	NaN	NaN
-69.733	95.5	2741	1985-01-01	-40.25	-307.3	-38.8
-69.73333056	95.51666667	2740	NaN	-37.7	NaN	-37.4
-69.73916667	140.0374333	2340	2002-01-01	-36.95	-293.07	-38.6
-69.7456	95.5303	NaN	NaN	-38.63	-304	NaN
-69.77	95.37	2720	1990-01-01	-36	-283.4	-38
-69.78596111	61.12463611	2500	1990-01-01	-35.8	-279.9	-35.2
-69.78333333	112.01	2310	1984-01-01	-33.1	-261.1	-35.8
-69.83978333	140.2242167	2331	2002-01-01	-37.88	-298.78	-38.9
-69.86333333	59.80166667	2620	1990-01-01	-35.55	-278.93	NaN
-69.92035	76.48975	1038	1994-01-01	-26.74	NaN	NaN
-69.925	76.49166667	1040	1990-01-01	-28.04	-219.38	NaN
-69.93656944	97.10787778	2794	1985-01-01	-40.63	-319.83	-40.2
-70	75.33333056	595	NaN	-12.6	NaN	-12.1
-70.01666667	64.48333056	2131	NaN	-27.13	NaN	-21
-70.01666667	134.8166667	2430	1973-01-01	-39.43	-300.8	-42.1
-70.01666667	134.8166667	2430	NaN	-39	NaN	-42.1
-70.02271944	134.8353889	2500	1995-01-01	-40.45	-317.93	-40.8
-70.06301667	140.6397	2299	2002-01-01	-36.9	-293.3	-39.9
-70.067325	61.13342778	2628	1990-01-01	-36.02	-282.56	-38.7
-70.15	111.83	2433	1984-01-01	-38.3	-303.7	-37.7
-70.155	111.8353	2434	NaN	-35.7	NaN	-37.7
-70.17578333	140.85115	2282	2002-01-01	-41.2	-325.25	-40.7
-70.18	95.58	2820	1990-01-01	-37.1	-290.8	-39.7
-70.1844	97.0264	NaN	NaN	-39.85	-313.5	NaN
-70.214	134.823	2500	1996-01-01	-38.94	-305.06	-40.8
-70.22166667	46.57333333	2405	1974-01-01	-38.3	NaN	-35.3
-70.24166667	-4.811111111	63	1998-01-01	-23.04	NaN	-17.5
-70.2583	76.67988333	1387	1994-01-01	-29.04	NaN	NaN
-70.26	76.68833333	1386	1990-01-01	-30.11	-235.86	NaN
-70.30944444	59.77333333	2739	1990-01-01	-41.4	-324.75	NaN
-70.35218611	61.12078056	2612	1990-01-01	-39.68	-310.85	-40
-70.35835	158.4196667	1723	2002-01-01	-29.3	-230.71	-26.4
-70.37555556	97.60666667	2864	1985-01-01	-40.24	-315.85	-41.3
-70.42	-64.73	1950	1990-01-01	-27.3	-211.8	-19.8
-70.43253333	141.1033667	2256	2002-01-01	-37.91	-301.38	-41.8
-70.44	111.74	2525	1984-01-01	-37.2	-292.5	-37.2
-70.444	111.741	2525	NaN	-36.4	NaN	-39
-70.4454	79.31668889	2044	1998-01-06	-32.04	NaN	NaN
-70.45	97.83333333	2760	NaN	-40.67	NaN	-39
-70.4522	97.8458	NaN	NaN	-38.7	-302.4	NaN
-70.52288333	158.6355833	2185	2002-01-01	-28.58	-224.64	-36.9
-70.53333333	95.72	2870	1990-01-01	-40.9	-322.6	-41.1
-70.56455	141.18525	2248	2002-01-01	-37.28	-292.86	-42.2
-70.57297222	133.8766056	2490	1973-01-01	NaN	-295.7	-42.3
-70.576	76.86833333	1650	1990-01-01	-31.63	-249.23	NaN
